Card List,Sandra Dellorusso,Dianne Mallett,Tim Curran,Kimberly Rivera,Madaline Munoz,Jeff Forgacs,Kim  Bennett
Contracts,Categories (5),,,PM NEEDS (15),,,My Customers (2)
Invoice Reviews,I dont even know if anyone uses these (5),,-3,,,Tools (7),
Tickets,Categories (6),,-1,,,Look Up (6),Team (11)
Orders,Categories (8),,,PM NEEDS (9),,Look Up (7),
Customers,Categories (1),-1,-2,PM NEEDS (3),Customer information (3),Look Up (4),Team (2)
Contacts,Categories (4),,,PM NEEDS (6),,,Team (8)
Providers,Categories (9),,-6,,Support (2),Look Up (2),Team (4)
Receive Inventory,I dont even know if anyone uses these (2),,,,Customer Inventory (2),,
Master Agent,Categories (2),,,,,Look Up (5),
Partners,Categories (13),,,,Support (6),Look Up (3),
Inventory,Categories > Inventory (1),,,PM NEEDS (14),Customer Inventory (1),Look Up (8),Team (9)
Tasks,Categories (17),,-5,,My Day to Day (5),,
Uploaded Documents,Reports (8),,,PM NEEDS (13),Customer information (1),,
Account IDs,COMMISSIONS > Commission Tools (1),,,,,Look Up (1),
Inventory Bulk Edit,Categories > Inventory (2),,,,,Tools (5),
Secure Share,Employee Tools/Settings (10),,,,My Day to Day (6),,
Orders - Report,Reports (1),,,PM NEEDS (10),,Tools (2),
Tickets - Report,Reports (2),,-3,PM NEEDS (12),,Tools (4),
Customers - Report,Reports (3),,-2,PM NEEDS (5),,Tools (3),
Activities - Report,Reports (6),,,,,Tools (1),
,,,,,,,
Home,Employee Tools/Settings > Home (1),,,PM NEEDS (1),,,Admin (4)
Personal,MY Stuff/Dashlets (1),,-1,,,,Personal (1)
,,,,,,,
IT Support,Employee Tools/Settings (5),,-5,,Support (7),Help (1),Admin (1)
OSS Support,Employee Tools/Settings (7),,,,Support (1),Help (2),
Browser Support,I dont even know if anyone uses these (6),,,,Support (3),,Admin (3)
Have an idea?,Employee Tools/Settings (6),,,,,,Admin (2)
Expense Report - Report,Employee Tools/Settings > Expenses (3),,-1,Expense Reports (2),,,
Expense Report,Employee Tools/Settings > Expenses (1),,-5,Expense Reports (1),,,
Bulletin Board,Employee Tools/Settings (3),,,,Support (4),,My  Day (7)
Time Tracker,Employee Tools/Settings (4),,,,My Day to Day (3),,
,,,,,,,
Executive Dashboard (Appts),MY Stuff/Dashlets > Executive Dashboards (1),,,,,,
Executive Dashboard (Opportunities),MY Stuff/Dashlets > Executive Dashboards (2),,,,,,
Daily Goal,MY Stuff/Dashlets (2),,-6,,,,
Executive Dashboard (Ops),MY Stuff/Dashlets > Executive Dashboards (3),,-1,,,,
My Subscriptions,MY Stuff/Dashlets (13),,-2,,,,
,,,,,,,
Opportunities,Categories (7),,,,,,
Manufacturers,Categories (12),,,,,,
Product Portfolio,Categories (15),,,,,,
Calls,Categories (14),,,,,,
Meetings,Categories (11),,,,,,
Questionnaires,Categories (16),,,,,,
Master Agent/Provider Mapping,Categories (3),,,,,,
Prospects,Categories (10),,-4,,,,
,,,,,,,
Expense Reports,Employee Tools/Settings > Expenses (2),,,,,,
Site Administration,Employee Tools/Settings (8),,,,,,
Session Variables,Employee Tools/Settings (9),,,,,,
User Activity - Report,Employee Tools/Settings (12),,,,,,
User Directory,Employee Tools/Settings (11),,,,,,
,,,,,,,
Environment Report - Report,Reports (7),,,,,,
Product Graphs - Report,Reports (5),,,,,,
Opportunities - Report,Reports (4),,-3,,,,
,,,,,,,
Surveys,other (1),,,,,,
Email Blast,other (3),,,,,,
Pricing ,other (2),,,,,,
,,,,,,,
Commissions,COMMISSIONS (1),,-7,,,,
Orphaned Products,COMMISSIONS > Commission Tools (3),,,,,,
Partner Commissions ,COMMISSIONS (8),,,,,,
Expected Commissions,COMMISSIONS > Commission Tools (4),,,,,,
Commission Tracker,COMMISSIONS > Commission Tools (2),,,,,,
Commissions - Report,COMMISSIONS (7),,-4,,,,
,,,,,,,
Customer Map,I dont even know if anyone uses these (3),,,,,,
